1、 3'8/35
1684、 5/112
1685、 2'7/16
1686、 1'11/49
1687、 1/8
1688、 1'23/56
1689、 5/12
1690、 2/9
1691、 40/49
1692、 53/72
1693、 1'5/12
1694、 1'2/3
1695、 1'17/28
1696、 13'9/10
1697、 1/6
1698、 1'9/28
1699、 31/224
1700、 10/81
1701、 2'3/4
1702、 1/14
1703、 1/4
1704、 5/16
1705、 1'1/3
1706、 2'1/24
1707、 25/72
1708、 5/21
1709、 5/18
1710、 3'79/105
1711、 2'5/9
1712、 7/8
1713、 12
1714、 1'20/21
1715、 3'2/3
1716、 2'11/40
1717、 1'5/6
1718、 2
1719、 1/3
1720、 1'1/8
1721、 8
1722、 2/9
1723、 37/42
1724、 1
1725、 14/355
1726、 1'1/2
1727、 2'13/18
1728、 1'1/3
1729、 3'3/5
1730、 27/35
1731、 8
1732、 3/7
1733、 11'1/4
1734、 1'17/18
1735、 7
1736、 7/30
1737、 3'9/10
1738、 20/21
1739、 1'20/21
1740、 86/135
1741、 3
1742、 1/2
1743、 2'1/3
1744、 3/16
1745、 41/42
1746、 7'5/16
1747、 2'7/10
1748、 6'59/70
1749、 3'8/45
1750、 6
1751、 3/5
1752、 1'22/45
1753、 4'2/5
1754、 8'1/4
1755、 7
1756、 23/24
1757、 1'3/4
1758、 18
1759、 29/45
1760、 5/8
1761、 5/24
1762、 5'1/4
1763、 10/63
1764、 1'25/42
1765、 2
1766、 2'17/168
1767、 4'5/6
1768、 18
1769、 2'5/14
1770、 25/72
1771、 7/18
1772、 9'3/8
1773、 7/27
1774、 6'1/2
1775、 1'5/18
1776、 71/80
1777、 2'293/1080
1778、 2'9/10
1779、 1'4/9
1780、 14
1781、 6'3/40
1782、 22'1/2
1783、 7/48
1784、 4/81
1785、 1'3/14
1786、 7/20
1787、 14
1788、 9
1789、 1'31/35
1790、 1/2
1791、 2'25/28
1792、 1'7/8
1793、 1'29/36
1794、 1'4/15
1795、 1
1796、 1'1/4
1797、 1'1/3
1798、 1'11/18
1799、 1/7
1800、 97/288
1801、 3'6/7
1802、 8/9
1803、 7'1/3
1804、 7
1805、 19/45
1806、 8/9
1807、 3/8
1808、 3'1/5
1809、 1/6
1810、 4'13/18
1811、 6/7
1812、 2'13/18
1813、 1/4
1814、 2'2/7
1815、 1'31/32
1816、 13/18
1817、 2'13/18
1818、 2
1819、 8/9
1820、 1'5/9
1821、 9/14
1822、 5'1/3
1823、 3/14
1824、 1'17/81
1825、 6'6/7
1826、 1'1/4
1827、 5/6
1828、 3'125/126
1829、 1'7/8
1830、 5'1/7
1831、 36
1832、 2/27
1833、 1'1/24
1834、 7/72
1835、 3/40
1836、 27/112
1837、 2
1838、 10'1/8
1839、 19/20
1840、 6'1/7
1841、 1'2/3
1842、 1
1843、 8/63
1844、 7
1845、 1'1/2
1846、 1'5/36
1847、 2'1/8
1848、 3/4
1849、 5/7
1850、 2'1/8
1851、 17/35
1852、 2'143/210
1853、 9'3/5
1854、 1'17/24
1855、 0
1856、 25/36
1857、 1/4
1858、 5'16/531
1859、 4/21
1860、 4'5/28
1861、 11/12
1862、 3
1863、 40/147
1864、 15'1/4
1865、 1'1/9
1866、 56'7/10
1867、 1'3/7
1868、 29/72
1869、 1
1870、 4'2/63
1871、 8'2/3
1872、 4/7
1873、 1/2
1874、 5'1/3
1875、 1'7/120
1876、 1'19/30
1877、 2'1/2
1878、 4'3/8
1879、 1'7/45
1880、 4/21
1881、 3'1/8
1882、 5'5/8
1883、 1'11/24
1884、 1'8/441
1885、 5/9
1886、 5/7
1887、 1/3
1888、 10'17/24
1889、 1'1/6
1890、 1'1/21
1891、 1'3/5
1892、 3'5/6
1893、 2'2/63
1894、 2'1/12
1895、 8'1/2
1896、 10'1/2
1897、 1'1/2
1898、 2'27/28
1899、 11'219/280
1900、 2'44/63
1901、 1'13/36
1902、 10/49
1903、 1'3/5
1904、 9'1/2
1905、 2'1/3
1906、 224/405
1907、 5/7
1908、 3'1/9
1909、 1/4
1910、 7/12
1911、 2/3
1912、 12'4/21
1913、 47/280
1914、 5/24
1915、 1'1/6
1916、 1'5/16
1917、 2'23/40
1918、 1'8/9
1919、 3'11/18
1920、 3'1/9
1921、 29/63
1922、 5'7/10
1923、 4/9
1924、 3'3/5
1925、 3'1/5
1926、 7/9
1927、 2'1/14
1928、 4/21
1929、 1'6/7
1930、 1
1931、 8
1932、 14/27
1933、 2'19/36
1934、 3'1/4
1935、 7'1/7
1936、 2'3/4
1937、 2'1/24
1938、 6'1/4
1939、 5/6
1940、 1'421/1280
1941、 7/18
1942、 7/15
1943、 1/16
1944、 3'3/5
1945、 0
1946、 23'2/5
1947、 6'221/360
1948、 4
1949、 75/128
1950、 1/2
1951、 4'1/3
1952、 1
1953、 1'1/8
1954、 1'1/15
1955、 2'11/24
1956、 17/90
1957、 1'1/5
1958、 6/19
1959、 12'47/56
1960、 5/36
1961、 3'79/120
1962、 5'2/5
1963、 7/12
1964、 6'5/12
1965、 1'31/189
1966、 14/27
1967、 6'1/7
1968、 2'1/2
1969、 1'1/5
1970、 1'13/24
1971、 29/45
1972、 2'7/18
1973、 4/49
1974、 1'31/42
1975、 5'6/35
1976、 7'1/3
1977、 9'1/6
1978、 10'1/2
1979、 5/21
1980、 1/18
1981、 7'3/4
1982、 51/70
1983、 9/16
1984、 5/72
1985、 3/8
1986、 3'13/90
1987、 3'5/12
1988、 24/35
1989、 2'11/12
1990、 3'14/15
1991、 11'1/4
1992、 2'9/20
1993、 3'53/160
1994、 10'7/9
1995、 10'2/7
1996、 3/7
1997、 6'1/7
1998、 8/15
1999、 1
2000、 1'2/3
2001、 2
2002、 34/35
2003、 20/31
2004、 4
2005、 1'1/2
2006、 2'43/252
2007、 2'6/7
2008、 1/6
2009、 6'23/30
2010、 65'1/4
2011、 19/20
2012、 3'5/12
2013、 1'11/126
2014、 6'1/2
2015、 7'19/28
2016、 2'2/9
2017、 1'20/21
2018、 1'5/7
2019、 9'1/3
2020、 1'1/14
2021、 2'4/7
2022、 143/252
2023、 12
2024、 1'15/16
2025、 34'1/2
2026、 8
2027、 1'1/9
2028、 8/15
2029、 6'2/5
2030、 8'1/16
2031、 6
2032、 5
2033、 1'97/428
2034、 13'1/6
2035、 1'5/18
2036、 7
2037、 13/16
2038、 7'1/5
2039、 4'1/2
2040、 1/6
2041、 4'3/4
2042、 8'1/54
2043、 3/8
2044、 4'3/14
2045、 1'4/21
2046、 35/48
2047、 1'79/280
2048、 7/27
2049、 6'1/4
2050、 2'101/140
2051、 1'1/6
2052、 1'2/5
2053、 1'11/25
2054、 7'17/18
2055、 5/6
2056、 1'19/80
2057、 4/9
2058、 8
2059、 1'5/7
2060、 1/6
2061、 4'2/9
2062、 5'4/7
2063、 12'1/4
2064、 3'2/3
2065、 1/12
2066、 40/63
2067、 94'1/2
2068、 1'7/15
2069、 3'1/5
2070、 2'11/12
2071、 29'3/4
2072、 1/4
2073、 1'3/8
2074、 4'1/6
2075、 3'23/36
2076、 5/56
2077、 1'5/12
2078、 11
2079、 4
2080、 1'11/25
2081、 5'5/8
2082、 3
2083、 1'2/3
2084、 1544/3645
2085、 5
2086、 5'16/35
2087、 10/81
2088、 5/8
2089、 1/2
2090、 1/4
2091、 1'1/5
2092、 23/42
2093、 7/8
2094、 1'2/45
2095、 9/14
2096、 55/56
2097、 1'10/21
2098、 4'1/12
2099、 1/7
2100、 2'4/5
2101、 1'35/48
2102、 1'139/252
2103、 6'5/6
2104、 2/35
2105、 5/7
2106、 9'1/2
2107、 2'2/3
2108、 8
2109、 3
2110、 10
2111、 1'7/9
2112、 2'1/5
2113、 1'19/32
2114、 5'1/2
2115、 18/581
2116、 4'2/7
2117、 2'7/9
2118、 1'4/5
2119、 8/27
2120、 14/15
2121、 1'31/81
2122、 8'13/18
2123、 12'4/5
2124、 3/8
2125、 4/9
2126、 3'1/2
2127、 16/27
2128、 1/96
2129、 1'26/45
2130、 32/147
2131、 1'4/7
2132、 2/7
2133、 2'1/8
2134、 2'2/5
2135、 3/4
2136、 7/30
2137、 9'17/28
2138、 2'2/27
2139、 6/7
2140、 11'4/7
2141、 3/7
2142、 1'6/7
2143、 3
2144、 2'2/35
2145、 3'2/9
2146、 52/105
2147、 3'19/24
2148、 1/8
2149、 16/441
2150、 2'17/21
2151、 1'19/24
2152、 9/10
2153、 14/27
2154、 3/7
2155、 6'1/3
2156、 1'109/126
2157、 3'109/168
2158、 3/4
2159、 1/6
2160、 3'7/10
2161、 2'25/28
2162、 8
2163、 1'2/3
2164、 1'1/6
2165、 5/32
2166、 10/147
2167、 5'1/2
2168、 1'29/84
2169、 11'1/2
2170、 1'1/6
2171、 23/30
2172、 9'1/2
2173、 5
2174、 2'2/3
2175、 3'1/5
2176、 156/245
2177、 1/5
2178、 16'4/5
2179、 1'13/32
2180、 5/18
2181、 1'4/21
2182、 1'7/10
2183、 5/21
2184、 2'11/63
2185、 3/8
2186、 3'18/25
2187、 19'1/2
2188、 1'31/108
2189、 1'11/21
2190、 1'3/4
2191、 1/8
2192、 1'2/3
2193、 10/27
2194、 13/40
2195、 2'1/24
2196、 18/25
2197、 8/21
2198、 1'27/56
2199、 1'8/9
2200、 10'1/3
2201、 11/45
2202、 1'8/45
2203、 3'3/4
2204、 1'6/29
2205、 7
2206、 8'4/9
2207、 4/75
2208、 8'2/3
2209、 3'1/5
2210、 9'1/5
2211、 12/49
2212、 6'2/3
2213、 3'1/9
2214、 70/81
2215、 3'13/15
2216、 3/5
2217、 7
2218、 14/15
2219、 1'7/8
2220、 3'7/18
2221、 6'4/7
2222、 2/5
2223、 6'11/21
2224、 2'4/7
2225、 1'6/35
2226、 8/9
2227、 4/9
2228、 1/5
2229、 9/40
2230、 10/63
2231、 1'113/120
2232、 1'13/42
2233、 5
2234、 18/71
2235、 3'1/3
2236、 20/27
2237、 2'5/6
2238、 5'1/3
2239、 2'1/32
2240、 5'11/21
2241、 80/189
2242、 13/32
2243、 8'1/6
2244、 1'16/35
2245、 1'19/35
2246、 7'1/9
2247、 10'13/18
2248、 3/16
2249、 3/22
2250、 3'3/4
2251、 6'43/63
2252、 1'2/7
2253、 3/14
2254、 13'2/3
2255、 2'11/12
2256、 1'31/81
2257、 2'7/8
2258、 11/16
2259、 1
2260、 16/441
2261、 1'3/20
2262、 1'115/224
2263、 5'2/5
2264、 9/14
2265、 4'1/4
2266、 1'1/8
2267、 2'1/4
2268、 3'5/16
2269、 20/63
2270、 27/64
2271、 2'22/45
2272、 6'13/15
2273、 7/75
2274、 27'1/2
2275、 2'2/3
2276、 11/36
2277、 6'1/24
2278、 1'19/30
2279、 23/36
2280、 1'1/10
2281、 8'7/8
2282、 14'1/7
2283、 7/180
2284、 1'7/8
2285、 1'8/27
2286、 4'29/35
2287、 1'5/16
2288、 5/27
2289、 6'2/3
2290、 3/5
2291、 27/28
2292、 4/9
2293、 48
2294、 1'10/21
2295、 21/38
2296、 3
2297、 2'1/3
2298、 9'4/5
2299、 3'1/4
2300、 1'1/4
2301、 1'65/72
2302、 1'1/9
2303、 2'4/5
2304、 1'12/25
2305、 1'1/7
2306、 1/35
2307、 10
2308、 1'5/7
2309、 1/24
2310、 1'2/9
2311、 1'11/115
2312、 33
2313、 1/3
2314、 1/8
2315、 4'31/105
2316、 2'1/8
2317、 2'4/35
2318、 3'4/5
2319、 2'7/9
2320、 5'11/60
2321、 2'11/36
2322、 7/27
2323、 35/81
2324、 2'1/36
2325、 3'1/6
2326、 3/20
2327、 1'3/8
2328、 1'7/20
2329、 1/25
2330、 1/15
2331、 1/12
2332、 1'1/63
2333、 1/4
2334、 35/72
2335、 6'5/7
2336、 19/36
2337、 6'3/4
2338、 2/7
2339、 111/160
2340、 7/18
2341、 3'3/7
2342、 2'32/35
2343、 5/56
2344、 7'1/2
2345、 2/27
2346、 4/21
2347、 1'1/4
2348、 1/8
2349、 1/8
2350、 14/45
2351、 3'6/25
2352、 3/5
2353、 1/8
2354、 1'1/2
2355、 2'1/18
2356、 3'11/30
2357、 1'47/72
2358、 25/42
2359、 1'101/168
2360、 18/35
2361、 1'4/5
2362、 2'1/8
2363、 6'23/72
2364、 9'53/72
2365、 9/32
2366、 8'9/28
2367、 9/32
2368、 4'1/4
2369、 1'11/40
2370、 59/90
2371、 9/10
2372、 8/9
2373、 9/14
2374、 5'1/3
2375、 2/9
2376、 7/16
2377、 1'1/3
2378、 1'17/42
2379、 2'14/45
2380、 7'1/2
2381、 2'3/5
2382、 32/147
2383、 2/21
2384、 4'25/42
2385、 1'1/27
2386、 3'3/8
2387、 5'14/15
2388、 7/24
2389、 1/4
2390、 1'22/45
2391、 2
2392、 1'3/10
2393、 12
2394、 37/42
2395、 1'5/28
2396、 7/18
2397、 12'39/44
2398、 1'9/10
2399、 12'1/9
2400、 3'1/5
2401、 1'31/35
2402、 81'2/3
2403、 4/5
2404、 4
2405、 4'35/36
2406、 7'1/7
2407、 5
2408、 1'101/105
2409、 2/9
2410、 107/120
2411、 27/40
2412、 2'6/7
2413、 2'143/240
2414、 8/9
2415、 13/21
2416、 2'8/9
2417、 1'1/9
2418、 9/14
2419、 7'7/8
2420、 1'139/140
2421、 19/35
2422、 63/1340
2423、 77/108
2424、 1/7
2425、 2'1/10
2426、 8'41/105
2427、 1'1/42
2428、 1'17/24
2429、 5'5/7
2430、 45
2431、 2'311/540
2432、 6'1/3
2433、 7/24
2434、 3'7/8
2435、 131/144
2436、 1/7
2437、 5'3/4
2438、 64'1/6
2439、 15'1/3
2440、 3'8/21
2441、 3'1/2
2442、 1'1/4
2443、 3'15/16
2444、 2'8/315
2445、 5'2/5
2446、 3'19/36
2447、 5/28
2448、 6
2449、 1'9/14
2450、 25/69
2451、 1'3/4
2452、 7/10
2453、 3'1/6
2454、 4/5
2455、 2'46/147
2456、 3/4
2457、 2/7
2458、 2'11/21
2459、 4'1/5
2460、 1'3/32
2461、 4'3/4
2462、 4'5/6
2463、 42
2464、 1'2/3
2465、 1'1/8
2466、 5/12
2467、 1/70
2468、 5'1/3
2469、 2'1/4
2470、 1/6
2471、 2'1/12
2472、 2'2/9
2473、 5
2474、 3/8
2475、 5'1/6
2476、 8'3/5
2477、 257/315
2478、 4/21
2479、 12
2480、 1'1/2
2481、 3/20
2482、 1'17/30
2483、 4'4/5
2484、 6'1/4
2485、 18/49
2486、 41'2/7
2487、 324/343
2488、 3/70
2489、 2
2490、 2/7
2491、 4'1/2
2492、 3'2/3
2493、 1
2494、 1'2/9
2495、 1'9/14
2496、 37/90
2497、 2'2/9
2498、 1'25/63
2499、 7'7/18
2500、 3/4
2501、 5
2502、 2'1/4
2503、 5/32
2504、 3'3/5
2505、 1'23/24
2506、 82'2/7
2507、 1'1/2
2508、 1'5/16
2509、 4'1/2
2510、 1'2/3
2511、 5'1/7
2512、 9/14
2513、 1'11/28
2514、 1/5
2515、 5/306
2516、 69/140
2517、 3'3/7
2518、 1/3
2519、 3'3/7
2520、 1'3/7
2521、 7/8
2522、 5'1/20
2523、 3'5/6
2524、 10'21/40
2525、 1'11/21
2526、 2
2527、 5/84
2528、 12'1/3
2529、 2'6/7
2530、 3'7/12
2531、 17/18
2532、 4'1/4
2533、 1'1/6
2534、 6/25
2535、 1'23/40
2536、 7'4/5
2537、 1/2
2538、 2'1/4
2539、 12
2540、 6'19/25
2541、 9'4/15
2542、 3'7/15
2543、 3'11/20
2544、 5'3/4
2545、 1'3/4
2546、 1/27
2547、 1/9
2548、 5'7/8
2549、 2'1/3
2550、 4/45
2551、 8
2552、 2'314/315
2553、 2'17/32
2554、 5/42
2555、 2
2556、 1'223/225
2557、 80/117
2558、 30'11/20
2559、 1/20
2560、 16/21
2561、 4/7
2562、 9/14
2563、 87/98
2564、 2'43/45
2565、 6
2566、 1/8
2567、 8'1/6
2568、 1'1/5
2569、 97/162
2570、 2
2571、 1'61/63
2572、 6'1/8
2573、 7/18
2574、 5/27
2575、 35/36
2576、 4'2/3
2577、 25/36
2578、 5'3/4
2579、 7/32
2580、 1'19/27
2581、 2'1/12
2582、 1'7/15
2583、 3'5/12
2584、 1/4
2585、 1/9
2586、 1'7/9
2587、 1/4
2588、 5
2589、 2'17/140
2590、 4'1/5
2591、 21
2592、 2'2/3
2593、 145/252
2594、 1'13/21
2595、 1'17/60
2596、 4/45
2597、 1/4
2598、 4'2/3
2599、 24
2600、 1'2/7
2601、 1'9/40
2602、 1'188/225
2603、 7/10
2604、 3'1/5
2605、 3'3/7
2606、 3/4
2607、 3/7
2608、 4'5/6
2609、 2'7/9
2610、 4'3/4
2611、 6
2612、 1'23/40
2613、 20
2614、 49/54
2615、 5/12
2616、 4'77/90
2617、 1/18
2618、 2'3/35
2619、 59/72
2620、 1'1/2
2621、 9/85
2622、 1'13/30
2623、 9/16
2624、 1'1/10
2625、 3'1/8
2626、 1'23/28
2627、 4/5
2628、 24/35
2629、 1'24/35
2630、 5/7
2631、 1'71/120
2632、 12
2633、 2'2/7
2634、 17/20
2635、 2'13/20
2636、 5'5/7
2637、 5
2638、 1'1/2
2639、 1/35
2640、 3'9/17
2641、 2'19/150
2642、 1/40
2643、 3'3/7
2644、 3'3/14
2645、 1'3/16
2646、 2'21/40
2647、 5'1/3
2648、 7/27
2649、 13/36
2650、 8
2651、 2'11/60
2652、 9/25
2653、 3'5/9
2654、 2'1/4
2655、 2'1/5
2656、 1'251/294
2657、 1'2/3
2658、 1/6
2659、 81/196
2660、 1'11/15
2661、 2'3/10
2662、 2'11/12
2663、 1'1/9
2664、 1/42
2665、 8/35
2666、 15/112
2667、 2'4/7
2668、 12'6/7
2669、 2/3
2670、 1'23/40
2671、 1'1/2
2672、 5
2673、 4/9
2674、 16
2675、 1'3/7
2676、 2/9
2677、 27/28
2678、 2'8/9
2679、 4'3/10
2680、 1/6
2681、 1'19/30
2682、 10'1/2
2683、 1'16/35
2684、 1'1/7
2685、 5'9/10
2686、 1'2/5
2687、 7'1/3
2688、 2'1/12
2689、 10/21
2690、 5'1/10
2691、 5'3/4
2692、 6'41/63
2693、 1'5/7
2694、 1345/1764
2695、 1'9/16
2696、 10/23
2697、 1'3/5
2698、 1'2/3
2699、 5'2/27
2700、 2'2/27
2701、 2'83/168
2702、 4/7
2703、 25'1/2
2704、 2/5
2705、 2'3/10
2706、 1'5/6
2707、 7'1/3
2708、 353/504
2709、 15'4/7
2710、 2/3
2711、 5/36
2712、 3'4/5
2713、 1'1/15
2714、 1'2/5
2715、 2
2716、 3'3/8
2717、 1'1/15
2718、 4'5/18
2719、 1'1/12
2720、 4/21
2721、 4'44/45
2722、 36/49
2723、 5'5/6
2724、 4'3/8
2725、 1'5/7
2726、 52'1/2
2727、 6
2728、 8'1/10
2729、 7'22/45
2730、 1'5/6
2731、 1'46/63
2732、 1'1/15
2733、 7/72
2734、 13'3/4
2735、 1'13/35
2736、 35/72
2737、 1'1/14
2738、 24/49
2739、 16/63
2740、 2'11/24
2741、 2'11/42
2742、 4'11/14
2743、 11'17/30
2744、 2'1/12
2745、 2'1/2
2746、 1'1/9
2747、 2'1/4
2748、 1'5/84
2749、 6'2/3
2750、 184/315
2751、 7'11/12
2752、 6'1/9
2753、 8'3/5
2754、 3/5
2755、 5/24
2756、 7/8
2757、 2/5
2758、 16/63
2759、 3'2/7
2760、 1/3
2761、 6'2/5
2762、 1'7/8
2763、 2'13/80
2764、 4/9
2765、 27/112
2766、 53/63
2767、 7/48
2768、 5/84
2769、 1'1/12
2770、 8'7/8
2771、 10'2/3
2772、 19/105
2773、 9/28
2774、 4'1/6
2775、 1'1/2
2776、 5'39/70
2777、 1/12
2778、 1'5/8
2779、 4'5/9
2780、 1'5/12
2781、 5/9
2782、 10'2/7
2783、 1'1/2
2784、 1/20
2785、 1/5
2786、 29/63
2787、 3'39/49
2788、 1/15
2789、 1'1/6
2790、 9'2/3
2791、 2'35/36
2792、 2/5
2793、 4'1/4
2794、 3'4/7
2795、 6'153/200
2796、 5'1/2
2797、 4/21
2798、 1'2/5
2799、 1'1/14
2800、 1'101/168
2801、 25/63
2802、 2'13/16
2803、 2'7/8
2804、 125/216
2805、 3'3/8
2806、 1'32/63
2807、 3'3/10
2808、 2'17/24
2809、 2'2/5
2810、 35/54
2811、 3/14
2812、 14/27
2813、 2
2814、 3/8
2815、 2
2816、 281
2817、 5'4/5
2818、 11/12
2819、 1
2820、 1'1/32
2821、 2'1/9
2822、 5/18
2823、 6'3/4
2824、 1/6
2825、 4'1/2
2826、 5
2827、 1'6/7
2828、 5'1/7
2829、 22'7/30
2830、 3/10
2831、 11'9/20
2832、 1'2/225
2833、 2'3/4
2834、 1'13/21
2835、 1/12
2836、 2'2/7
2837、 1'1/28
2838、 1'3/14
2839、 35/36
2840、 3'14/15
2841、 1'31/40
2842、 1'67/140
2843、 67/84
2844、 1'4/9
2845、 5/27
2846、 1'26/35
2847、 3'13/24
2848、 3'3/8
2849、 2'9/14
2850、 2/49
2851、 5/8
2852、 5/8
2853、 7/45
2854、 1/6
2855、 1'1/15
2856、 1'3/7
2857、 2'59/84
2858、 2'17/32
2859、 1/2
2860、 7/9
2861、 8
2862、 102/385
2863、 5/16
2864、 1'1/7
2865、 2'11/28
2866、 7
2867、 31/40
2868、 3'5/36
2869、 1'1/7
2870、 2'19/30
2871、 4'18/35
2872、 6'3/32
2873、 1'43/72
2874、 175/243
2875、 11'1/2
2876、 13/24
2877、 5'1/3
2878、 4/45
2879、 15/16
2880、 9/80
2881、 2'3/5
2882、 6'6/7
2883、 4'1/2
2884、 7'3/5
2885、 1'13/45
2886、 2'28/45
2887、 23/35
2888、 6'3/4
2889、 5/8
2890、 13'1/3
2891、 2'2/5
2892、 1/36
2893、 2'1/8
2894、 1/4
2895、 3'3/35
2896、 1'9/20
2897、 21/80
2898、 2/5
2899、 2'5/6
2900、 2'25/48
2901、 10/21
2902、 2/3
2903、 16/35
2904、 1'902/1215
2905、 3/4
2906、 50/63
2907、 2'1/2
2908、 15/32
2909、 17'2/3
2910、 4'2/5
2911、 21'3/5
2912、 1/12
2913、 2'31/42
2914、 2'13/24
2915、 1'1/10
2916、 1
2917、 3'5/28
2918、 3
2919、 37/56
2920、 1'3/16
2921、 24
2922、 2'3/28
2923、 7'2/7
2924、 7'3/8
2925、 7'3/4
2926、 55/63
2927、 1'12/35
2928、 4
2929、 2'5/6
2930、 2'2/15
2931、 1/3
2932、 7'5/16
2933、 11
2934、 7/48
2935、 2'521/600
2936、 13'3/4
2937、 1/4
2938、 1'19/30
2939、 8'1/2
2940、 2'2/3
2941、 2'1/2
2942、 3/5
2943、 15'1/7
2944、 3'1/9
2945、 4'4/15
2946、 224
2947、 3'7/15
2948、 1'2/5
2949、 1'5/8
2950、 1/6
2951、 1'31/168
2952、 35/36
2953、 5'3/5
2954、 3'3/4
2955、 1'1/3
2956、 3/4
2957、 1'31/108
2958、 3'3/4
2959、 1/5
2960、 4'1/2
2961、 3'1/6
2962、 1'1/14
2963、 25/36
2964、 7
2965、 1/2
2966、 1/3
2967、 8'1/7
2968、 9'1/2
2969、 27
2970、 3'19/105
2971、 6'7/9
2972、 9/16
2973、 1/30
2974、 2'1/36
2975、 7/36
2976、 2'1/2
2977、 2'2/3
2978、 1'19/20
2979、 1'7/80
2980、 2'23/84
2981、 17/63
2982、 2'19/54
2983、 1'1/12
2984、 5/9
2985、 18/35
2986、 1'7/8
2987、 1/5
2988、 7'1/5
2989、 3'1/5
2990、 4'4/5
2991、 8/63
2992、 1'1/6
2993、 81/200
2994、 1'1/27
2995、 5'2/3
2996、 2/3
2997、 3'2/9
2998、 5'1/5
2999、 1/9
3000、 5/42
3001、 5/6
3002、 7'13/56
3003、 3/10
3004、 7'1/3
3005、 1'2/9
3006、 1'43/54
3007、 10'3/4
3008、 2'1/7
3009、 20
3010、 1'1/4
3011、 5
3012、 6'17/18
3013、 15/16
3014、 1'8/9
3015、 1'49/81
3016、 6/7
3017、 5
3018、 4'2/7
3019、 4/35
3020、 4/9
3021、 2'2/15
3022、 9/20
3023、 2/5
3024、 3'1/2
3025、 3'3/5
3026、 2'1/70
3027、 1/4
3028、 3'1/2
3029、 1/4
3030、 3'1/10
3031、 7'5/7
3032、 1'3/5
3033、 1/5
3034、 1'2/5
3035、 2/21
3036、 7'1/7
3037、 23/24
3038、 4
3039、 3'5/6
3040、 1'23/42
3041、 1'1/6
3042、 95/126
3043、 4'15/32
3044、 2'1/10
3045、 3/20
3046、 17/28
3047、 3/8
3048、 3'1/8
3049、 13'1/2
3050、 7'1/8
3051、 1'33/35
3052、 15'1/6
3053、 6'1/7
3054、 1'7/24
3055、 7'2/3
3056、 4/5
3057、 10'4/5
3058、 2'1/7
3059、 2'5/12
3060、 9/140
3061、 3/4
3062、 15'5/9
3063、 1/2
3064、 1'1/2
3065、 53/84
3066、 5'1/3
3067、 2/5
3068、 1'67/90
3069、 2'1/2
3070、 6'3/4
3071、 7'1/2
3072、 4'1/2
3073、 4/5
3074、 13'1/3
3075、 7'4/5
3076、 13/40
3077、 4'1/2
3078、 2/3
3079、 25/56
3080、 2/9
3081、 2'1/2
3082、 2'1/18
3083、 1'1/7
3084、 400
3085、 1'1/3
3086、 1'5/9
3087、 4'3/7
3088、 2/3
3089、 20/27
3090、 1'3/5
3091、 55/72
3092、 32/45
3093、 27/32
3094、 3'3/4
3095、 2'1/2
3096、 5
3097、 8/63
3098、 6'27/40
3099、 2'1/9
3100、 1
3101、 6'3/5
3102、 1'3/8
3103、 5'13/18
3104、 5/12
3105、 4'2/3
3106、 2'2/7
3107、 10
3108、 1'5/12
3109、 2'1/8
3110、 1/12
3111、 7/32
3112、 25/36
3113、 14'2/5
3114、 2/3
3115、 67/252
3116、 5'1/2
3117、 9/56
3118、 8'5/8
3119、 0
3120、 2'3/5
3121、 1'3/7
3122、 1/6
3123、 5/8
3124、 27/140
3125、 3
3126、 10/63
3127、 1'1/35
3128、 3'1/9
3129、 7/27
3130、 7'2/3
3131、 5/16
3132、 1
3133、 3'37/48
3134、 13'3/4
3135、 3'1/2
3136、 6
3137、 5/8
3138、 3'25/288
3139、 8/27
3140、 43/168
3141、 1'1/15
3142、 6
3143、 3'8/15
3144、 9'11/12
3145、 2'2/7
3146、 6
3147、 2'104/189
3148、 7/80
3149、 2'25/28
3150、 1'1/24
3151、 11'2/3
3152、 1'1/15
3153、 6'1/36
3154、 2/3
3155、 3'5/24
3156、 5'3/5
3157、 7'1/2
3158、 7/10
3159、 5'2/3
3160、 6'15/28
3161、 20/63
3162、 1'23/54
3163、 1'1/12
3164、 1'3/4
3165、 3'3/10
3166、 1'29/40
3167、 7
3168、 4/81
3169、 7/9
3170、 8/15
3171、 1'3/10
3172、 31/42
3173、 7'1/6
3174、 392/405
3175、 7'5/6
3176、 27/56
3177、 1'11/28
3178、 2'13/18
3179、 2'2/7
3180、 7/16
3181、 3'3/4
3182、 1'1/2
3183、 1/5
3184、 4/5
3185、 8'1/9
3186、 7/12
3187、 2'47/210
3188、 1
3189、 4'2/9
3190、 4'197/630
3191、 1
3192、 1'3/10
3193、 209/280
3194、 2'7/10
3195、 1'1/16
3196、 9'1/5
3197、 4'1/3
3198、 2'61/160
3199、 3'7/12
3200、 1'3/7
3201、 32/45
3202、 5'3/5
3203、 1'1/5
3204、 32'3/10
3205、 2'4/21
3206、 13'1/2
3207、 1/2
3208、 1/28
3209、 1'44/45
3210、 5'5/6
3211、 27/28
3212、 3
3213、 1'3/49
3214、 5'7/30
3215、 2'2/63
3216、 8/11
3217、 5/6
3218、 7'19/24
3219、 32/81
3220、 1'1/8
3221、 5'5/7
3222、 1'3/8
3223、 3/14
3224、 43/140
3225、 14'1/3
3226、 1'1/5
3227、 1/12
3228、 15
3229、 1'1/6
3230、 2'83/280
3231、 1/2
3232、 1'1/3
3233、 8/27
3234、 1'1/15
